date,service_id,agency_name,trip_id,trip_headsign,direction_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_color,shape_id,shape_points,wheelchair_accessible,bikes_allowed,weekday,weekend,ridership_count,avg_wait_time_min,avg_delay_min,fare_collected,weather_condition,bus_id,driver_id
2025-10-28,3602,London Transit,2234448,Downtown via Western & Wharncliffe,1,106,106,Route 106,,3,D6DF21,75754,102,0,0,1,0,55,5.1,1.5,178.75,Cloudy,BUS2273,DRV0697
2025-09-17,3302,London Transit,2235035,Natural Science via Sarnia,0,127,127,Route 127,,3,9F93A5,75766,79,0,0,1,0,54,8.2,1.9,175.5,Windy,BUS8581,DRV9940
2025-10-02,3302,London Transit,2234114,Downtown via Richmond,0,102,102,Route 102,,3,75AAAE,75743,96,0,0,1,0,64,5.8,5.3,208.0,Cloudy,BUS6185,DRV8064
2025-09-16,3302,London Transit,2234356,Natural Science via Richmond,0,106,106,Route 106,,3,D6DF21,75752,70,0,0,1,0,54,7.4,2.9,175.5,Rain,BUS6111,DRV4068
2025-10-24,3602,London Transit,2234367,Natural Science via Richmond,0,106,106,Route 106,,3,D6DF21,75752,70,0,0,1,0,66,4.9,4.3,214.5,Rain,BUS9725,DRV0697
2025-10-18,3903,London Transit,2234346,Downtown via Oxford,1,104,104,Route 104,,3,A685BC,75751,191,0,0,0,1,61,3.0,3.2,198.25,Sunny,BUS2131,DRV2849
2025-11-11,3302,London Transit,2234291,Downtown via Oxford,1,104,104,Route 104,,3,A685BC,75751,191,0,0,1,0,37,4.7,4.3,120.25,Rain,BUS9468,DRV9331
2025-09-23,3302,London Transit,2234069,Downtown via Richmond,0,102,102,Route 102,,3,75AAAE,75743,96,0,0,1,0,49,2.4,1.2,159.25,Sunny,BUS8711,DRV8064
2025-09-18,3302,London Transit,2235158,Capulet Lane via Sarnia,1,127,127,Route 127,,3,9F93A5,75767,79,0,0,1,0,30,0.5,2.1,97.5,Rain,BUS0457,DRV9940
2025-10-02,3302,London Transit,2234093,Downtown via Richmond,0,102,102,Route 102,,3,75AAAE,75743,96,0,0,1,0,52,8.1,3.5,169.0,Sunny,BUS2330,DRV8064
